Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart
2025-11-07,BMNR,40.23,45552800,39.52,22.89,37.46,59.17,35.79,56.85,-77.11,20,,50.00,HOLD,4.07,34.12,52.45,34.12,42.27
2025-11-07,DNA,8.95,2958100,30.67,6.04,10.06,15.67,8.64,16.50,-93.96,20,,276.00,BUY,1.12,7.27,12.31,7.27,9.51
2025-11-07,GEV,575.13,2819600,46.41,52.30,536.95,638.28,532.72,664.69,-47.70,20,DoubleBottom,120.00,HOLD,26.35,535.61,654.17,535.61,588.30
2025-11-07,GOOGL,278.83,34440600,65.22,73.10,236.47,293.55,239.71,291.59,-26.90,20,,50.00,HOLD,7.55,267.50,301.49,267.50,282.61
2025-11-07,INTC,38.13,95148800,54.19,32.45,35.24,41.38,34.69,42.48,-67.55,20,,50.00,HOLD,1.90,35.28,43.84,35.28,39.08
2025-11-07,IONQ,59.27,32665100,47.63,56.86,47.86,76.40,51.06,84.64,-43.14,20,,50.00,HOLD,5.71,50.71,76.39,50.71,62.12
2025-11-07,PLTR,177.93,73693500,45.29,23.36,167.59,203.20,168.91,207.52,-76.64,20,DoubleBottom,120.00,HOLD,9.26,164.03,205.72,164.03,182.56
2025-11-07,RXRX,4.62,52439900,37.52,17.47,4.56,6.90,4.18,7.18,-82.53,20,,198.00,HOLD,0.48,3.90,6.05,3.90,4.86
2025-11-07,TSLA,429.52,103091100,47.11,25.96,421.74,468.40,413.90,474.07,-74.04,20,DoubleBottom,120.00,HOLD,20.98,398.06,492.45,398.06,440.01
2025-11-07,UPST,38.60,8876900,29.20,13.26,39.44,56.52,36.06,55.22,-86.74,20,,355.00,BUY,3.35,33.58,48.64,33.58,40.27
