Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20
2026-01-28,ABCL,3.90,2965690,46.58,5.00,3.34,4.75,3.34,4.85,-95.00,29,,198.00,HOLD,0.29,3.47,4.76,3.47,4.04,0.28,0.31,-0.03,4.05,4.06
2026-01-28,BE,165.39,12361551,73.15,95.76,83.89,175.37,84.14,167.57,-4.24,29,,227.00,SELL,11.52,182.67,130.84,182.67,159.63,25.14,22.07,3.07,129.63,134.21
2026-01-28,BMNR,29.63,33743766,47.06,37.61,26.77,33.48,26.76,34.39,-62.39,29,DoubleBottom,120.00,HOLD,2.21,26.32,36.25,26.32,30.73,-0.11,0.06,-0.18,30.13,30.08
2026-01-28,CIEN,257.30,2068994,61.67,96.04,220.51,258.90,216.07,261.13,-3.96,29,,148.00,HOLD,14.84,235.04,301.81,235.04,264.72,0.31,3.89,-3.58,239.70,237.55
2026-01-28,DLO,14.46,678206,53.29,65.03,13.53,15.18,13.27,15.55,-34.97,29,,50.00,HOLD,0.55,13.63,16.11,13.63,14.74,-0.09,0.05,-0.14,14.36,14.27
2026-01-28,DNA,9.43,533217,50.03,32.39,8.23,10.55,8.08,11.10,-67.61,29,,50.00,HOLD,0.64,8.47,11.34,8.47,9.75,0.53,0.47,0.06,9.39,9.49
2026-01-28,GEV,711.59,5410134,63.48,89.23,619.88,707.67,617.11,722.99,-10.77,29,,226.00,SELL,30.29,757.02,620.73,757.02,696.45,3.35,-2.98,6.33,663.77,666.16
2026-01-28,GLW,104.28,17005179,67.43,67.68,80.50,103.68,83.95,113.99,-32.32,29,,78.00,HOLD,4.58,97.41,118.02,97.41,106.57,3.48,1.21,2.27,92.09,93.89
2026-01-28,GOOGL,336.01,26310723,64.33,78.81,310.62,342.17,310.33,340.49,-21.19,29,,50.00,HOLD,7.49,324.78,358.47,324.78,339.75,8.50,8.92,-0.42,326.40,326.68
2026-01-28,INTC,48.78,200002733,58.01,58.19,35.01,54.49,36.82,54.60,-41.81,29,,50.00,HOLD,3.16,44.03,58.27,44.03,50.36,4.90,4.50,0.40,44.75,45.11
2026-01-28,IONQ,45.80,18678817,44.72,25.96,43.70,52.84,42.84,54.24,-74.04,29,,50.00,HOLD,3.95,39.88,57.64,39.88,47.77,-0.19,0.43,-0.62,48.27,48.05
2026-01-28,OPEN,5.76,42971488,40.36,4.85,5.49,7.21,5.64,7.92,-95.15,29,DoubleBottom,268.00,BUY,0.45,5.08,7.12,5.08,5.99,0.03,0.13,-0.10,6.35,6.31
2026-01-28,PLTR,157.35,43399899,31.66,0.28,159.91,186.18,157.27,187.28,-99.72,29,,276.00,BUY,6.79,147.16,177.72,147.16,160.75,-6.90,-5.72,-1.18,173.05,172.06
2026-01-28,POET,6.22,14273430,40.90,2.34,5.97,8.62,6.15,9.14,-97.66,29,DoubleBottom,268.00,BUY,0.72,5.15,8.37,5.15,6.58,0.19,0.41,-0.22,7.29,7.12
2026-01-28,TSLA,431.46,50383825,44.41,38.04,421.96,457.76,417.44,463.12,-61.96,29,DoubleBottom,120.00,HOLD,14.09,410.32,473.74,410.32,438.51,-10.78,-14.92,4.14,439.86,441.42
2026-01-28,UPST,43.17,3111223,40.80,3.07,42.26,51.48,42.90,52.10,-96.93,29,DoubleBottom,268.00,BUY,2.31,39.70,50.09,39.70,44.32,-1.16,-0.05,-1.11,46.87,46.29
