Date,Ticker,Close,Volume,RSI,StochK,BBLower,BBUpper,DonchLower,DonchUpper,WilliamsR,FearGreed,Patterns,Score,Opinion,ATR,StopLoss,TakeProfit,TrailingStop,TrailingStart,MACD,MACDSignal,MACDHistogram,SMA20,EMA20,SMA50,SMA200,VolumeRatio,TrendRegime,ConfluenceRatio
2026-08-07,ABCL,6.93,6453900,61.66,97.01,4.98,7.00,4.98,6.99,-2.99,31,DoubleTop,289.07,SELL,0.51,7.70,5.40,7.70,6.67,-0.53,-0.74,0.21,5.99,6.11,6.19,4.49,1.30,uptrend,0.00
2026-08-07,BE,219.34,15071700,47.91,67.31,168.31,255.94,157.33,252.00,-32.69,31,DoubleTop,71.96,HOLD,28.53,176.54,304.93,176.54,233.61,-19.13,-31.27,12.13,212.12,221.17,253.52,181.53,0.85,uptrend,0.00
2026-08-07,BMNR,18.82,29861700,60.41,87.32,14.77,19.26,14.32,19.30,-12.68,31,,266.71,SELL,1.19,20.61,15.24,20.61,18.22,1.05,1.19,-0.14,17.02,17.22,16.30,24.48,0.86,downtrend,0.00
2026-08-07,CIEN,412.39,1886600,50.47,85.91,339.71,449.43,323.29,466.66,-14.09,31,,135.73,HOLD,30.87,366.08,505.01,366.08,427.83,-18.97,-31.20,12.23,394.57,402.41,445.84,357.15,0.94,uptrend,0.00
2026-08-07,DLO,14.40,1243100,48.76,28.86,14.13,15.42,13.83,15.65,-71.14,31,DoubleTop,94.44,HOLD,0.55,13.58,16.06,13.58,14.68,0.04,0.21,-0.17,14.78,14.67,13.59,13.40,0.76,uptrend,0.00
2026-08-07,DNA,7.97,1653000,44.28,30.86,6.97,9.52,7.22,9.65,-69.14,31,DoubleBottom,230.72,HOLD,0.65,6.99,9.93,6.99,8.30,-0.37,-0.76,0.39,8.25,8.46,8.76,8.71,1.80,downtrend,0.50
2026-08-07,GEV,990.32,2475900,46.13,38.07,927.64,1101.69,897.68,1140.99,-61.93,31,,170.18,HOLD,58.04,903.26,1164.45,903.26,1019.34,-42.56,-43.39,0.83,1014.66,1012.50,1021.31,846.38,0.87,uptrend,0.00
2026-08-07,GLW,165.68,10718700,51.61,91.51,121.98,186.36,114.50,193.71,-8.49,31,,169.63,HOLD,14.14,144.48,208.09,144.48,172.75,-16.30,-26.09,9.80,154.17,158.20,179.13,137.03,0.74,uptrend,0.00
2026-08-07,GOOGL,354.30,19805200,50.75,56.63,315.85,381.67,314.90,384.48,-43.37,31,,147.50,HOLD,12.86,335.01,392.88,335.01,360.73,-5.97,-7.90,1.92,348.76,352.36,356.51,329.11,0.61,uptrend,0.00
2026-08-07,INTC,101.65,76609900,50.14,79.25,83.71,110.20,81.79,109.61,-20.75,31,,125.00,HOLD,8.09,89.52,125.92,89.52,105.69,-6.94,-11.20,4.26,96.96,99.55,110.65,68.58,0.67,uptrend,0.00
2026-08-07,IONQ,44.43,34382100,56.85,98.56,30.57,42.98,31.81,44.62,-1.44,31,,297.86,SELL,3.33,49.42,34.44,49.42,42.77,-1.78,-5.28,3.50,36.78,39.60,48.68,45.63,1.56,downtrend,0.00
2026-08-07,OPEN,3.48,28007800,35.83,9.13,3.30,4.86,3.38,4.90,-90.87,31,,351.04,HOLD,0.31,3.01,4.43,3.01,3.64,-0.49,-0.36,-0.13,4.08,4.01,4.45,5.49,0.43,downtrend,0.00
2026-08-07,PLTR,172.01,77382900,72.83,99.27,105.95,164.13,117.89,172.41,-0.73,31,,345.87,SELL,8.96,185.45,145.12,185.45,167.53,2.99,1.57,1.42,135.04,138.61,132.60,152.28,1.68,uptrend,0.00
2026-08-07,POET,8.91,17121300,53.92,91.00,6.30,9.10,6.28,9.17,-9.00,31,DoubleTop,259.76,SELL,0.89,10.24,6.24,10.24,8.47,-0.37,-0.76,0.39,7.70,8.09,9.86,7.92,1.30,uptrend,0.00
2026-08-07,TSLA,328.58,39370100,41.41,35.99,272.94,413.72,297.38,406.59,-64.01,31,,130.71,HOLD,14.82,306.35,373.04,306.35,335.99,-41.78,-34.62,-7.16,343.33,339.99,380.44,408.80,1.00,downtrend,0.00
2026-08-07,UPST,31.09,4439200,55.59,59.09,25.90,32.46,25.89,34.69,-40.91,31,,135.00,HOLD,1.91,28.22,36.83,28.22,32.05,-1.66,-2.40,0.73,29.18,29.63,31.17,35.57,1.04,downtrend,0.00
